"topic","term","beta"
6,"really",0.0146049347590424
1,"buggy",8.90819393494524e-07
2,"buggy",8.80706538013056e-07
3,"buggy",8.87806159954261e-07
4,"buggy",0.00685424564456322
5,"buggy",9.22128742585246e-06
6,"buggy",9.00372033724334e-07
1,"terrible",0.00040175954646603
2,"terrible",9.68777191814362e-06
3,"terrible",0.000906450089313299
4,"terrible",0.00346208025190065
5,"terrible",8.38298856895678e-07
6,"terrible",9.00372033724334e-07
1,"recently",8.90819393494524e-07
2,"recently",8.80706538013056e-07
3,"recently",0.000249473530947147
4,"recently",0.00877043067553291
5,"recently",8.38298856895678e-07
6,"recently",9.00372033724334e-07
1,"dear",8.90819393494524e-07
2,"dear",8.80706538013056e-07
3,"dear",0.000311619962143945
4,"dear",8.63146410346709e-07
5,"dear",8.38298856895678e-07
6,"dear",9.00372033724334e-07
1,"songs",1.8707207263385e-05
2,"songs",8.80706538013056e-07
3,"songs",0.000134058730153093
4,"songs",8.63146410346709e-07
5,"songs",0.115560335721926
6,"songs",9.00372033724334e-07
1,"put",8.90819393494524e-07
2,"put",8.80706538013056e-07
3,"put",8.87806159954261e-07
4,"put",8.63146410346709e-07
5,"put",0.00691680386824624
6,"put",9.00372033724334e-07
1,"playlist",8.90819393494524e-07
2,"playlist",8.80706538013056e-07
3,"playlist",8.87806159954261e-07
4,"playlist",8.63146410346709e-07
5,"playlist",0.0552447329682821
6,"playlist",9.00372033724334e-07
1,"shuffle",8.90819393494524e-07
2,"shuffle",8.80706538013056e-07
3,"shuffle",8.87806159954261e-07
4,"shuffle",8.63146410346709e-07
5,"shuffle",0.0161380912940987
6,"shuffle",9.00372033724334e-07
1,"play",8.90819393494524e-07
2,"play",2.73019026784047e-05
3,"play",8.87806159954261e-07
4,"play",9.4946105138138e-06
5,"play",0.0883826867813683
6,"play",9.00372033724334e-07
1,"player",8.90819393494524e-07
2,"player",8.80706538013056e-07
3,"player",8.87806159954261e-07
4,"player",0.00773465498311685
5,"player",1.76042759948093e-05
6,"player",9.00372033724334e-07
1,"controls",8.90819393494524e-07
2,"controls",8.80706538013056e-07
3,"controls",8.87806159954261e-07
4,"controls",0.00621551730090665
5,"controls",8.38298856895678e-07
6,"controls",9.00372033724334e-07
1,"sometimes",0.00021468747383218
2,"sometimes",8.80706538013056e-07
3,"sometimes",1.86439293590395e-05
4,"sometimes",0.0155288670685476
5,"sometimes",8.38298856895678e-07
6,"sometimes",9.00372033724334e-07
1,"disappear",1.8707207263385e-05
2,"disappear",8.80706538013056e-07
3,"disappear",1.86439293590395e-05
4,"disappear",0.0024004101671742
5,"disappear",8.38298856895678e-07
6,"disappear",9.00372033724334e-07
1,"reason",8.90819393494524e-07
2,"reason",0.00592803570736588
3,"reason",0.00388060072516007
4,"reason",0.00155452668503442
5,"reason",9.22128742585246e-06
6,"reason",9.00372033724334e-07
1,"restart",8.90819393494524e-07
2,"restart",8.80706538013056e-07
3,"restart",8.87806159954261e-07
4,"restart",0.00760518302156485
5,"restart",8.38298856895678e-07
6,"restart",9.00372033724334e-07
1,"forgets",9.79901332843977e-06
2,"forgets",8.80706538013056e-07
3,"forgets",8.87806159954261e-07
4,"forgets",0.000259807069514359
5,"forgets",8.38298856895678e-07
6,"forgets",9.00372033724334e-07
1,"playing",8.90819393494524e-07
2,"playing",8.01442949591881e-05
3,"playing",8.87806159954261e-07
4,"playing",0.0519881714415926
5,"playing",8.38298856895678e-07
6,"playing",9.00372033724334e-07
1,"fixes",8.90819393494524e-07
2,"fixes",9.77584257194491e-05
3,"fixes",6.30342373567525e-05
4,"fixes",0.000864009556757055
5,"fixes",8.38298856895678e-07
6,"fixes",9.00372033724334e-07
1,"issue",0.0151091877330606
2,"issue",8.80706538013056e-07
3,"issue",8.87806159954261e-07
4,"issue",8.63146410346709e-07
5,"issue",8.38298856895678e-07
6,"issue",9.90409237096768e-06
1,"love",9.79901332843977e-06
2,"love",8.80706538013056e-07
3,"love",4.52781141576672e-05
4,"love",8.63146410346709e-07
5,"love",8.38298856895678e-07
6,"love",0.0367991053903473
1,"selection",8.90819393494524e-07
2,"selection",8.80706538013056e-07
3,"selection",9.76586775949687e-06
4,"selection",8.63146410346709e-07
5,"selection",8.38298856895678e-07
6,"selection",0.00430467869323604
1,"lyrics",8.90819393494524e-07
2,"lyrics",8.80706538013056e-07
3,"lyrics",8.87806159954261e-07
4,"lyrics",8.63146410346709e-07
5,"lyrics",8.38298856895678e-07
6,"lyrics",0.0148300277674735
1,"provided",8.90819393494524e-07
2,"provided",8.80706538013056e-07
3,"provided",8.87806159954261e-07
4,"provided",8.63146410346709e-07
5,"provided",8.38298856895678e-07
6,"provided",0.000334038024511728
1,"song",8.90819393494524e-07
2,"song",8.80706538013056e-07
3,"song",1.86439293590395e-05
4,"song",8.63146410346709e-07
5,"song",0.0998589981322702
6,"song",9.00372033724334e-07
1,"listening",9.79901332843977e-06
2,"listening",9.77584257194491e-05
3,"listening",8.87806159954261e-07
4,"listening",0.0011920051926888
5,"listening",8.38298856895678e-07
6,"listening",0.0180263484871949
1,"still",0.0224495395354555
2,"still",0.00178871497870452
3,"still",8.87806159954261e-07
4,"still",8.63146410346709e-07
5,"still",8.38298856895678e-07
6,"still",9.00372033724334e-07
1,"extremely",8.90819393494524e-07
2,"extremely",0.000723060067708719
3,"extremely",8.87806159954261e-07
4,"extremely",0.00170989303889683
5,"extremely",8.38298856895678e-07
6,"extremely",9.00372033724334e-07
1,"slow",0.00310094230875444
2,"slow",8.80706538013056e-07
3,"slow",8.87806159954261e-07
4,"slow",6.99148592380834e-05
5,"slow",8.38298856895678e-07
6,"slow",9.00372033724334e-07
1,"changing",0.0009273429886278
2,"changing",8.80706538013056e-07
3,"changing",0.000764401103720618
4,"changing",0.000156229500272754
5,"changing",8.38298856895678e-07
6,"changing",9.00372033724334e-07
1,"storage",0.00208540820017068
2,"storage",9.68777191814362e-06
3,"storage",8.87806159954261e-07
4,"storage",8.63146410346709e-07
5,"storage",1.76042759948093e-05
6,"storage",9.00372033724334e-07
1,"external",0.000312677607116578
2,"external",8.80706538013056e-07
3,"external",8.87806159954261e-07
4,"external",8.63146410346709e-07
5,"external",8.38298856895678e-07
6,"external",9.00372033724334e-07
1,"sd",0.00144401823685462
2,"sd",8.80706538013056e-07
3,"sd",8.87806159954261e-07
4,"sd",8.63146410346709e-07
5,"sd",8.38298856895678e-07
6,"sd",9.00372033724334e-07
1,"card",0.0023259294364142
2,"card",8.80706538013056e-07
3,"card",8.87806159954261e-07
4,"card",8.63146410346709e-07
5,"card",8.38298856895678e-07
6,"card",9.00372033724334e-07
1,"convinced",8.90819393494524e-07
2,"convinced",9.68777191814362e-06
3,"convinced",8.87806159954261e-07
4,"convinced",3.53890028242151e-05
5,"convinced",8.38298856895678e-07
6,"convinced",9.00372033724334e-07
1,"done",0.000179054698092399
2,"done",0.00321545957028566
3,"done",0.000142936791752636
4,"done",9.4946105138138e-06
5,"done",8.38298856895678e-07
6,"done",9.00372033724334e-07
1,"purpose",0.000615556200904716
2,"purpose",3.61089680585353e-05
3,"purpose",8.87806159954261e-07
4,"purpose",8.63146410346709e-07
5,"purpose",8.38298856895678e-07
6,"purpose",9.90409237096768e-06
1,"knows",9.79901332843977e-06
2,"knows",8.80706538013056e-07
3,"knows",0.000125180668553551
4,"knows",9.4946105138138e-06
5,"knows",5.11362302706364e-05
6,"knows",0.000253004541476538
1,"nothing",0.00855275699694093
2,"nothing",8.80706538013056e-07
3,"nothing",9.76586775949687e-06
4,"nothing",8.63146410346709e-07
5,"nothing",8.38298856895678e-07
6,"nothing",9.00372033724334e-07
1,"solve",0.00119458880667616
2,"solve",8.80706538013056e-07
3,"solve",8.87806159954261e-07
4,"solve",8.63146410346709e-07
5,"solve",4.27532417016796e-05
6,"solve",9.00372033724334e-07
1,"time",0.000437392322205811
2,"time",0.0316182454212067
3,"time",8.07903605558377e-05
4,"time",0.00046696220799757
5,"time",9.22128742585246e-06
6,"time",9.00372033724334e-07
1,"changed",8.90819393494524e-07
2,"changed",8.80706538013056e-07
3,"changed",0.00277084302521725
4,"changed",8.63146410346709e-07
5,"changed",6.790220740855e-05
6,"changed",4.59189737199411e-05
1,"cards",0.000259228443506906
2,"cards",8.80706538013056e-07
3,"cards",8.87806159954261e-07
4,"cards",8.63146410346709e-07
5,"cards",8.38298856895678e-07
6,"cards",9.00372033724334e-07
1,"faster",8.90819393494524e-07
